"Rank","Player","Team","Games","3PA","Observed %","True Talent %"
1,"Allie Turner","Gonzaga",31,171,45.6,38.3
2,"Katie Donovan","Davidson",30,139,46.8,38.3
3,"Azzi Fudd","UConn",31,213,45.1,38.3
4,"Ellie Brueggemann","Lindenwood",30,193,44,37.7
5,"Elle Evans","Kansas",30,139,47.5,37.7
6,"Meghan Andersen","Fairfield",30,202,42.1,37.6
7,"Avery Mills","Liberty",22,157,44.6,37.6
8,"Natalie Pasco","Boise St",30,167,44.3,37.5
9,"Emilee Fox","S Dakota St",24,104,49,37.3
10,"Cali Smallwood","UAB",28,206,41.7,37.1
